categoria,titulo,subtitulo
"Tech","Falha no Android pode denunciar localizaçao de utilizadores","Uma falha no sistema Android, identificada pela Eletronic Frontier Foundation, poderá por em causa a localizaçao dos utilizadores. Segundo é explicado, sempre que o acesso prioritário à internet é realizado por Wifi o provedor do serviço tem acesso à informaçao sobre o local e hora a que se registou a ultima ligaçao."
"Fama","Kate Middleton cumprimentou Rui Costa","Campeao do Mundo em destaque na partida do Tour, em Leeds."
"Economia","Bloco acusa Governo de partidarizar o BES","O coordenador do Bloco de Esquerda Joao Semedo acusou hoje o Governo de Passos Coelho de ter partidarizado o Banco Espirito Santo (BES), numa referência à possibilidade de o economista Vitor Bento vir a chefiar a administraçao do banco."
"Mundo","Jovem palestiniano assassinado foi queimado vivo","O adolescente palestiniano que foi assassinado, alegadamente em represália pelos homicidios de três jovens israelitas, foi queimado vivo depois de ser sequestrado, segundo os primeiros relatorios da autopsia divulgados hoje pelos meios de comunicaçao social da Palestina."
"Pais","Tubarao faz hastear bandeira vermelha no concelho de Grândola","O avistamento de um tubarao junto à costa do concelho de Grândola fez com que esta manha fosse hasteada a bandeira vermelha nas praias do Carvalhal e do Pêgo, noticia a Rádio Renascença."
"Fama","Scarlett Johansson vence processo judicial","A atriz ganhou um processo judicial contra o autor francês Gregoire Delacourt, depois de afirmar que se baseou nela para uma personagem promiscua do seu livro The First Thing We Look At."
"Mundo","Pedida ousadia e inovaçao para garantir desenvolvimento","O presidente cabo-verdiano apelou hoje a todos os atores politicos e sociais que se entreajudem, com ousadia e criatividade, para que Cabo Verde possa enfrentar a grande complexidade dos desafios futuros e garantir o desenvolvimento do pais."
"Economia","Vitor Bento proposto como novo presidente executivo do BES","O Espirito Santo Financial Group (ESFG) anunciou hoje que vai propor Vitor Bento para presidente executivo do Banco Espirito Santos (BES) e Joao Moreira Rato para administrador financeiro, num comunicado enviado à Comissao de Mercado de Valores Mobiliários (CMVM)."
"Fama","A morte de Peaches foi intolerável","Na sua primeira entrevista apos a morte da filha, Bob Geldof revela à People como tem superado a perda."
"Politica","Hoje temos mais despesa social do que quando a crise começou","O primeiro-ministro, Pedro Passos Coelho, reafirmou hoje que Portugal tem atualmente um nivel de despesa social maior do que tinha quando a crise começou, considerando que é preciso cumprir certos limites porque senao aqueles que precisam deixarao de ter."
